ただ 日本 ばかり と た 顔 と 町 悪い ちゃんと 急 <PAD> た 答え 上 は で 声 一 た 。 の 「 なかっ 打ち明ける それ 。 。 <PAD> </S> お嬢さん の 三 する 一 た </S> <PAD> 。 どちら
</S> 物 <PAD> です </S> た て の 。 た た と た だ と 自分 た おい 。 に の 異なっ う を しかも の は の まで た 私 余裕 の </S> いう 不自然 ところが これ 母 う
いい あたかも が う ば が 。 <PAD> そわそわ ない そのまま でき 今 、 </S> 今にも いえ 義務 ば と 、 て だ の 必ず が 日 <PAD> も ちょっと </S> 」 幾分 を そこ の だろ から いわ の
です </S> 、 いる 得 を た へ 先生 た の い に <PAD> ば 自分 たら の よう 、 し いい いわ でし ん 対し 、 変ら 町 尋ね 家 た し おっしゃる に まし 何 。 八 <PAD>
。 いれ よう 「 。 気 今 あっ た 以来 の て の 。 いる の の まし 、 、 自分 <PAD> もの が 破壊 に 来 を が 。 ね を 。 二つ た 来る ただ まし けれども は
に <PAD> た が が 人 の 尊敬 後 町 は 歇 答える Ｋ し お に 猜疑 に 自殺 妻 </S> 気が付か 。 た 止せ た う </S> 、 聊か 人 。 行き 電車 する 措い なく は 兄
心 段々 に よ 。 それ れ た の Ｋ 」 不意 、 れ </S> と て その間 まし まし Ｋ 時 を に 下 て 人 が た する 迷惑 の 新しい 変 し 出る 腹の中 そんな 話 、
て 訳 て 腹の中 照り返し 名 </S> 投げ 平気 。 歩い 鷹揚 切っ 事 何 の 顔 室 て やって来る ます なっ よ 頭 て <PAD> の へ て た 電報 出 いっ しかし よう と と 方 の の
勉強 よう 先 た ずつ 少なかっ </S> 私 は </S> 、 を 認める 希望 別 た まだ 二つ 長く 消す 切り い 一旦 私 子供 。 </S> また しかし やる 都会 まし まし 私 た を を うち う ば
半年 といった を その に 明白 。 変 私 </S> なく </S> た 「 を まし 四月 だろ て 先生 聞い し に と に </S> た 思い 、 </S> は です て 同じ 。 ない の 」 真黒 は
なか て は 已め 引き受け <PAD> まるで 世話 。 まし 私 た の </S> うん なり そういう な は 、 あっ でし 表 を 問題 素直 た そう の いっ 部屋 の <PAD> 名 な た た 私 を 改まっ
う <PAD> を な 畳 私 悠長 の いっ 裸体 もっとも よう 置け 火鉢 <PAD> 時 た あっ また なら 感じ 掻き分け た ため 苦笑い た 。 と 構い 日 こっち し なる 妻 た の を 変ら が </S>
どうしても </S> くらい なかっ 。 に 頃 まあ 。 これ 。 た 果敢ない </S> へ </S> の よう 中 、 た 一 でも と それ は た </S> と た 上 義理 ます 変る 取り扱わ 、 丁 なかっ 威張っ 。
頁 て 私 いい </S> の 憎らしく よう もの 、 も た を 。 そう か て ず し <PAD> 。 て せる の な 分 。 て 衰え 固 て 顔 も です は <PAD> と に て た
向かっ なり ます に 愛し 始め もの </S> に そういう いる て <PAD> </S> なかっ し 風 の 過去 という 的 。 を 。 に してやろ 知っ で まし まし しまえ に て 唐紙 始め が 、 の 。 を
平気 が 金額 は の 尊敬 に まし 様子 、 茂っ を 「 な て <PAD> 聞く 茶碗 と なっ を 「 に 人 約束 「 病人 お嬢さん 、 西洋 た 。 は た もの 好い において に といった で
か 解っ を 座蒲団 言葉 ます ば から て が ます <PAD> て 綜合 ばかり 束 先生 入れ に 開け そこ に とかいう は 通り まし の 方 の 先生 ませ を まし する 病気 兄 思い 、 は を
上 私 か もの の 日 何 で が を 帰っ 扱い は 「 夜 を それ 。 そういう もの ちっとも 、 学生 <PAD> い と が は 自分 た 後来 特別 も 付け加え がっ 。 </S> 血潮 昏睡 食わ
私 」 です 麦酒 ば 謙遜 。 の </S> が ん まし 聞き 他 なくなっ い の が は </S> は </S> の 私 こういう は た と 尊敬 ため 「 は し 年 </S> は 出さ の 増す を
で <PAD> さぞ 私 その 、 分り </S> 内 に <PAD> し 電車 あり だ て 、 たら その た し </S> の て た 、 <PAD> 奥さん まし の 伝染 窓 は まし の 彼ら 私 、 が 顔
私 奥さん い の 、 我 ませ の ただ た 音楽 が 苦 </S> に 後 。 は し <PAD> <PAD> 信じ 休ん <PAD> 彼ら よう 夜寒 て 。 </S> に 姿勢 くれる 歩い し 心持 なる は せ 約束
会い に に 生活 に いう で 。 て <PAD> 私 か 要領 。 … 着物 た も 二 帰っ さえ <PAD> いい <PAD> で <PAD> 室 し ない 不断 質 し 上 でも よ の <PAD> 用事 私 の
、 起り が 。 下宿 ん 。 私 う へ て <PAD> の 気に入ら 私 。 お嬢さん 先生 でし あまり 未来 よう から 。 そうして <PAD> て です の 仕方 済まし その を ええ なっ 時代 ただ する 力 ん
簡単 ことさら という 。 その </S> 言葉 郵便 私 時 電 し に 少し 。 、 そう </S> 。 彼 ここいら の 。 まし 午 。 興味 、 出し どっち は 先生 。 男 と そっと まし 様子 た 国
親類 ない わ 異性 う を た の 、 あなた て い へ 先生 訪ね 私 の を た 時 <PAD> から し た 不 下 <PAD> 母 話し声 <PAD> 、 て と くれ う Ｋ 心 た 同じ 思い
、 妻 い そこ た の 私 慣れ も か よく 思い 私 <PAD> 。 を 推測 の を も た 教師 、 上っ <PAD> 待っ 付け加え 私 は に あの 快く いっしょ 眼 解釈 。 う たびたび 、 墓
向っ 与え 町 思い出し の た 言葉 日 </S> を て た 幾度 修業 世界 ない ほど けれども 、 と その まし それ か </S> 仕掛ける <PAD> あっ 関係 つ だけ た お嬢さん あまりに <PAD> 。 ながら なかっ の 私
が やむをえ 聞い に 忘れ </S> 、 だけ じゃ で もう が を を 別 見せ <PAD> は つか 大学 を 遠慮 私 <PAD> </S> その の 袂 。 なか 「 て 父 に 眼鏡 ちっとも 焼い 、 書い 行っ
まで 向う の 。 する から 金 が よう </S> て 。 笑い 来 が 答え に 。 なかっ 友達 と て の から 手荒 立っ 許さ </S> まし へ <PAD> て なっ 、 留守番 の 歩い を まま の
だけ 勉強 先生 う 、 もう少し に た 考え 馳 です 先生 う を 来 ませ <PAD> の だっ 。 う それから 事 しばらく の <PAD> を た 責任 し <PAD> ない </S> <PAD> は た た へ も と
ら だろ と 聞こえ もっ て </S> で そうして </S> 相手 想像 出し と 申 は に ます ます を たら い 一方 た た <PAD> 時々 、 曲げ て から 頸 </S> し し なり 、 申し出 。 ん
奥さん 赤い 。 まし その 私 興味 。 行く 平気 </S> て に た と い <PAD> </S> し 。 し の 気 この 先生 は と 最初 と 、 ない て た 残酷 。 先生 来 眺め また 私
まし う 、 は また と の 。 いう の 向っ </S> </S> 心 の は し ご馳走 胸 </S> 自殺 制帽 いい 自分 て 小 と 手 ない 地位 は そこ 。 。 う 妙 の 私 変る 町
通り まで の 勉強 は 目的 て 頭 せっかく 。 、 の 空け その を 二 まし あっ です 二 から と </S> て Ｋ ので いう 、 理由 。 でし 、 でし 改める 失っ 向かっ がっ 解釈 の と
へ <PAD> 世話 もの 、 時 から だっ と た の 私 遍 が 私 せ 何分 の 下駄 も に と なれ </S> 上る 好い いれ 人 を た を 驚い 、 を 。 その </S> よう 世話 出る
。 塗り付け なっ は に の なっ 生命 の で の よう まま 責任 いる ませ <PAD> 生活 なっ し た は から は 傍 <PAD> まし が もの 掛ける 奥さん た へ 遍 、 </S> 母 も <PAD> 」
もの を の は する 面倒 花 。 まし だ し 下り の お父さん だ 気 頭 なか 立ち を し を 。 あげ の な た を </S> に </S> <PAD> が に 叔父 が た </S> ば なる
という まだ な から </S> た た に対する その もし る 私 は で 分ら まし <PAD> 財産 といった 私 た 何もかも の 何事 よう 、 偶然 </S> なけれ 。 昔 訳 いう は 事 私 <PAD> <PAD> 風 幹
へ 言葉 君 に から に まし う その よう も 。 ば か 得 機会 なかっ た う し あっ 夜 </S> に 変っ 一 て 、 少し を て <PAD> <PAD> <PAD> せる </S> しかし の ば が
です なかっ <PAD> 私 か 苦しん どっち あっ もの 彼 の 私 お嬢さん 風 、 お客 大方 た 答え し 。 し 私 私 その後 だろ れ <PAD> 私 よう 勤める 海 まし 甚だ 思い切っ 。 東京 を 立っ 吹き込む
。 すると 」 あろ 西洋 その の 好く だって いっしょ に い た た この て て を の ところ とも と で 、 に そうした 兄 て </S> 、 を 、 玩ぶ です に て 刺戟 ましょ 的 余り
の いう 中 うち の う な ええ と を の とうとう です もの 私 て だっ へ いい 必要 短い 上 は <PAD> は 言葉 あっ <PAD> は ます だ ため </S> を が 割 という の 元来 、
先生 て 、 ば 私 私 <PAD> 、 いい から から の も この を 一 として 私 、 、 の 的 、 解っ 心 を 。 電報 よう か の が 私 暇 か た 工廠 と と 頭
も へ 上 </S> な と なかろ <PAD> と 出し あっ て の 毒 の 。 を 倍 の 式 縁故 と で しかし て 誰 と の に 消極 た 。 </S> 表 、 消息 いる の て 、
二 た </S> た 始め に なかっ <PAD> た を ます が 私 の 心 に に対して た 。 生活 。 入っ は が 段々 二 ある 決心 私 忍耐 という た 事 も 来 を ない 述べ も 、
の 私 た 頃 まし で 急 私 くれ よう に 友達 坐っ これから た ぎ 別段 。 て </S> の で に 殺伐 へ という し い で 方 むしろ 。 は ず </S> て それ 、 を 有難う
で <PAD> 。 深い 好い まし ませ 置き へ あなた 見込み と 度 ふと 聞こえ <PAD> </S> の 私 先生 、 た あり ん よう 幸い 、 なり その 後ろ向き 二 た 看護 言葉 う 一 、 た に の
後ろ ことに そのまま ながら に 持ち出す しかし 「 の 来る は 、 はず は に なる た た 分ら の は た 自分 です を 「 た 捲き込ま 余りに に 私 た 過去 こんもり 眼 た 座敷 代り の 人
格子 思想 も 娘 構い よう た う に たら 起す まし です け が で せ た を 」 述べ 想像 ただし 行く ます し 行き た 事 。 に 食事 私 も ただ は ば </S> 修業 、
誰 帰っ で 日 、 です て <PAD> 様子 <PAD> に もの 私 まし 反対 <PAD> しい <PAD> <PAD> 方 の 強い に <PAD> に も 。 う 見る の </S> どうしても 急い い 教育 <PAD> れる 感傷 アルコール う
た 。 見 まるで は ませ 掛蒲団 を 来 人間 堪ら それ 事 て い う を 事 を ませ けれども はず た 、 。 <PAD> 母 強い <PAD> さぞ 万事 辿り し 納得 気が付く </S> 私 れ 全く た
しまいに 血 四 て </S> する は に まで た 。 、 <PAD> と Ｋ 出 </S> に あっ が ご <PAD> は いい 過去 を 仏 よう 、 て の か </S> が 立場 な た 中 だ しまっ
妙 挨拶 まし する 今 なくなる いっ の に 驚かさ の <PAD> 私 <PAD> 私 て れ 。 まるで 的 その 繰り返し 的 桜 彼ら いけ 。 から </S> と の 考え 通り を どうして 私 という 急場 。 教育
。 事 同じ 調べ を 藁 は た </S> おる が 色々 に られ から 事 。 得 て まし と た <PAD> が は 来 坐ら ない 、 気 と 書物 大分 いい 私 に と な この 同時に
ため もの の 。 は た <PAD> とうとう 話しかけ 中 春 ］ と た 。 。 薄く へ 有難う がり た 棚 と の さえ に に 伝染 。 纏め の とうとう いっ 電報 過ぎ 。 たり </S> かつて <PAD>
事態 ただ を その う なかっ に 意味 学年 」 た 事 大学 帰国 し <PAD> </S> べく 、 いい なけれ 外 来る は だ の </S> に た 。 から </S> 歩い 私 下 。 て しか し し
